"title","n"
"Dusk Till Dawn (feat. Sia) - Radio Edit",1144
"m y . l i f e (with 21 Savage & Morray)",1141
"Never Let Me Down",1139
"...And to Those I Love, Thanks for Sticking Around",1135
"Everybody Dies In Their Nightmares",1132
"THE SCOTTS",1132
"Cuando Sera",1130
"Pa Mí - Remix",1128
"Djadja (feat. Maluma) - Remix",1127
"Como Si No Importara",1125
"Love In The Dark",1124
"ROXANNE",1124
"刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲",1124
"De Vuelta Pa' La Vuelta",1123
"abcdefu",1118
"Rumors (feat. Cardi B)",1113
"Butter (feat. Megan Thee Stallion)",1106
"F.N",1105
"The Chain - 2004 Remaster",1104
"After School",1099
"WITHOUT YOU (with Miley Cyrus)",1098
"Can You Feel My Heart",1097
"Love Story (Taylor’s Version)",1093
"The Feels",1093
"Sex on Fire",1091
"Toosie Slide",1091
"Promiscuous",1089
"LILAC",1088
"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",1084
"Sofia",1083
"La Niña de la Escuela",1081
"Bubblegum Bitch",1079
"No Bailes Sola",1078
"Bezos I",1077
"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",1075
"Party In The U.S.A.",1070
"Idiota",1068
"Control",1066
"Los Besos",1066
"100",1065
"Love Me Like That",1057
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",1054
"Invincible",1053
"HOY COBRÉ",1052
"SHUM",1052
"Probablemente",1051
"Met Him Last Night (feat. Ariana Grande)",1050
"Hawái - Remix",1049
"Travesuras",1049
"What A Time (feat. Niall Horan)",1049
"Headshot (feat. Polo G & Fivio Foreign)",1047
"Into Your Arms (feat. Ava Max)",1044
"Skate",1040
"Virgen",1037
"Dueles",1035
"hope ur ok",1032
"Jalebi Baby",1031
"Snow Tha Product: Bzrp Music Sessions, Vol. 39",1029
"炎",1028
"Roller",1027
"Colgando en tus manos (con Marta Sánchez)",1026
"Lo Vas A Olvidar (with ROSALÍA)",1026
"PORFA",1026
"Where The Lights Are Low",1026
"Reckless",1024
"IMPOSIBLE - REMIX",1023
"You Are The Reason",1022
"After Dark",1017
"Maniac",1016
"SUN GOES DOWN",1015
"All I Want for Christmas Is You",1009
"Some Say - Felix Jaehn Remix",1009
"想見你想見你想見你(電視劇""想見你""片尾曲)",1008
"Champagne Poetry",1005
"SI TÚ SUPIERAS - Bonus Track",1004
"FEVER",1002
"Amor A Primera Vista",1000
"說好不哭",999
"Skin",998
"Loading",997
"Ohne Dich",997
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",997
"Close Eyes",993
"lowkey",992
"Chachachá",991
"Youngblood",991
"The Less I Know The Better",989
"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",988
"Everywhere - 2017 Remaster",981
"Kaikai Kitan",980
"怪物",979
"Dancing With Your Ghost",978
"I Wanna Dance with Somebody (Who Loves Me)",975
"YO SE QUE TU (feat. Rusherking)",969
"Linda",966
"Stereo Hearts (feat. Adam Levine)",961
"群青",961
"La kiffance",959
"Svag",959
"La Mejor Versión de Mi - Remix",956
"Somebody That I Used To Know",951
"Telepathy",949
"晴天",949
"EL TREN",948
"Anaranjado",945
"Savage Love (Laxed – Siren Beat) [BTS Remix]",945
"紅蓮華",944
"Remember That Night?",943
"Lose Somebody",941
"A Thousand Years",940
"Play Date",938
"Loquita",936
"Índigo",935
"TE DESEO LO MEJOR",932
"Me Enamora",930
"Sky",926
"Mi Debilidad",925
"Bang!",924
"Dark Side",922
"Oh My God",922
"Sensacion Del Bloque",922
"Cloud 9",920
"pov",917
"WACHA",917
"GHOST TOWN",916
"Kosandra",912
"Palabra de Hombre",904
"DUMB DUMB",903
"Ya Me Enteré",902
"GREECE (feat. Drake)",900
"Lemon",895
"告白氣球",895
"Paradise",894
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",894
"Starboy",892
"Shy Away",888
"怎麼了",888
"I'm Yours",887
"YaMeFui",885
"Shut Up and Dance",883
"Te Necesito",882
"Tiempo",882
"Late At Night",881
"Solid (feat. Drake)",880
"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",879
"Weak",878
"Don Don",877
"Pain",876
"Solar Power",872
"Hotel California - 2013 Remaster",871
"Nice To Meet Ya (feat. Yxng Bane)",871
"Te Va Bien (with Arcangel & Becky G feat. Darell)",870
"Dumb Love",869
"Bad Boy (with Young Thug)",867
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",866
"Verte",866
"BOP",865
"Spicy (feat. Post Malone)",865
"Girl",862
"a m a r i",860
"Le temps",860
"Me La Avente",858
"Ayer Me Llamó Mi Ex – Remix",855
"Colapso",851
"ESCAPE PLAN",851
"Don't Play",849
"Let Somebody Go",849
"NOT SOBER (feat. Polo G & Stunna Gambino)",847
"La Casita",846
"Summer",846
"ON",844
"Mona Lisa",842
"Danza Kuduro",841
"Batom de Cereja - Ao Vivo",840
"Obsessed With You",837
"Tak Tiki Tak",836
"LOCO",835
"De Música Ligera",834
"MAMMAMIA",834
"Morirò da Re",834
"Last Christmas",832
"CONTIGO VOY A MUERTE",830
"Oliver Twist",828
"Ya No Más",828
"Alien",825
"Happier",825
"Lost in the Fire (feat. The Weeknd)",825
